18:10:47 - CPU: 11.9% | Memory: 39.2% (67.1 GB)
18:10:48 - CPU: 12.4% | Memory: 39.2% (67.1 GB)
18:10:49 - CPU: 12.1% | Memory: 39.2% (67.1 GB)
18:10:50 - CPU: 11.9% | Memory: 39.2% (67.1 GB)
18:10:51 - CPU: 12.1% | Memory: 39.2% (67.1 GB)
18:10:52 - CPU: 13.4% | Memory: 39.3% (67.2 GB)
18:10:53 - CPU: 17.9% | Memory: 39.3% (67.3 GB)
18:10:54 - CPU: 18.8% | Memory: 39.2% (67.1 GB)
18:10:55 - CPU: 12.3% | Memory: 39.2% (67.1 GB)
18:10:56 - CPU: 11.7% | Memory: 39.2% (67.1 GB)
18:10:57 - CPU: 11.6% | Memory: 39.2% (67.0 GB)
18:10:58 - CPU: 12.0% | Memory: 39.2% (67.1 GB)
18:10:59 - CPU: 12.1% | Memory: 39.2% (67.0 GB)
18:11:00 - CPU: 11.8% | Memory: 39.2% (67.0 GB)
18:11:01 - CPU: 12.0% | Memory: 39.2% (67.1 GB)
18:11:02 - CPU: 11.7% | Memory: 39.2% (67.1 GB)
18:11:03 - CPU: 11.8% | Memory: 39.2% (67.0 GB)
18:11:04 - CPU: 12.1% | Memory: 39.2% (67.0 GB)
18:11:05 - CPU: 11.5% | Memory: 39.2% (67.0 GB)
18:11:06 - CPU: 12.1% | Memory: 39.2% (67.0 GB)
18:11:07 - CPU: 12.0% | Memory: 39.2% (67.0 GB)
18:11:08 - CPU: 11.5% | Memory: 39.2% (67.0 GB)
18:11:09 - CPU: 12.6% | Memory: 39.2% (67.0 GB)
18:11:10 - CPU: 12.8% | Memory: 39.2% (67.1 GB)
18:11:11 - CPU: 13.0% | Memory: 39.2% (67.1 GB)
18:11:12 - CPU: 14.8% | Memory: 39.3% (67.2 GB)
18:11:13 - CPU: 14.0% | Memory: 39.3% (67.2 GB)
18:11:14 - CPU: 13.3% | Memory: 39.3% (67.2 GB)
18:11:15 - CPU: 11.7% | Memory: 39.3% (67.2 GB)
18:11:16 - CPU: 11.6% | Memory: 39.3% (67.2 GB)
18:11:17 - CPU: 12.4% | Memory: 39.3% (67.2 GB)
18:11:18 - CPU: 13.0% | Memory: 39.2% (67.0 GB)
18:11:19 - CPU: 12.2% | Memory: 39.2% (67.0 GB)
18:11:20 - CPU: 12.0% | Memory: 39.2% (67.0 GB)
18:11:21 - CPU: 11.4% | Memory: 39.2% (67.0 GB)
18:11:22 - CPU: 11.6% | Memory: 39.2% (67.0 GB)
18:11:23 - CPU: 11.6% | Memory: 39.2% (67.0 GB)
18:11:24 - CPU: 11.6% | Memory: 39.2% (67.0 GB)
18:11:25 - CPU: 11.8% | Memory: 39.2% (67.0 GB)
18:11:26 - CPU: 11.9% | Memory: 39.2% (67.0 GB)
18:11:27 - CPU: 12.1% | Memory: 39.1% (67.0 GB)
18:11:28 - CPU: 13.1% | Memory: 39.1% (67.0 GB)
18:11:29 - CPU: 12.7% | Memory: 39.2% (67.0 GB)
18:11:30 - CPU: 14.5% | Memory: 39.2% (67.0 GB)
18:11:31 - CPU: 13.7% | Memory: 39.2% (67.0 GB)
18:11:32 - CPU: 14.0% | Memory: 39.2% (67.0 GB)
18:11:33 - CPU: 12.2% | Memory: 39.2% (67.0 GB)
18:11:34 - CPU: 11.5% | Memory: 39.2% (67.0 GB)
18:11:35 - CPU: 11.5% | Memory: 39.2% (67.0 GB)
18:11:36 - CPU: 11.6% | Memory: 39.2% (67.0 GB)
18:11:37 - CPU: 11.8% | Memory: 39.2% (67.0 GB)
18:11:38 - CPU: 11.9% | Memory: 39.2% (67.0 GB)
18:11:39 - CPU: 11.9% | Memory: 39.2% (67.0 GB)
